,num,utterance,child,age,skipped,reconstructed,bow,gold,prediction,chance,controlledscore,repetition,correctedscore
0,0,"[<__main__.Word instance at 0x10b5b8560>
 <__main__.Word instance at 0x10b5b8a70>]",Naima,1_6,False,True,"[['Naima'], ['Naima']]",NaimaNaima,NaimaNaima,0.5,0.69314718056,True,-0.0
1,1,[<__main__.Word instance at 0x10b5b8cf8>],Naima,1_6,True,,,athlete,,,,NaN,NaN
2,2,"[<__main__.Word instance at 0x10b5b8758>
 <__main__.Word instance at 0x10b5b88c0>]",Naima,1_6,False,False,"[['Genaba'], ['eat']]",Genabaeat,eatGenaba,0.5,-0.69314718056,False,-0.6931471805599453
3,3,"[<__main__.Word instance at 0x10b41f5a8>
 <__main__.Word instance at 0x10b41fa28>
 <__main__.Word instance at 0x10b41f368>
 <__main__.Word instance at 0x10b41f908>]",Naima,1_6,True,,,Genabaeatingstampstamp,,,,NaN,NaN
4,4,"[<__main__.Word instance at 0x10b413cf8>
 <__main__.Word instance at 0x118b52128>
 <__main__.Word instance at 0x118b521b8>]",Naima,1_6,False,True,"[['with'], ['with'], ['with']]",withwithwith,withwithwith,0.166666666667,1.79175946923,True,-0.0
5,5,"[<__main__.Word instance at 0x118b523f8>
 <__main__.Word instance at 0x118b52518>
 <__main__.Word instance at 0x118b52638>]",Naima,1_6,False,True,"[['Badega'], ['Badega'], ['Badega']]",BadegaBadegaBadega,BadegaBadegaBadega,0.166666666667,1.79175946923,True,-0.0
6,6,[<__main__.Word instance at 0x118b52878>],Naima,1_6,True,,,animals,,,,NaN,NaN
7,7,"[<__main__.Word instance at 0x118b52a70>
 <__main__.Word instance at 0x118b52b48>
 <__main__.Word instance at 0x118b52c68>
 <__main__.Word instance at 0x118b52d88>
 <__main__.Word instance at 0x118b52ea8>
 <__main__.Word instance at 0x118b52ef0>
 <__main__.Word instance at 0x10b4219e0>
 <__main__.Word instance at 0x10b421bd8>]",Naima,1_6,False,False,"[['Alan'], ['Alan'], ['noise'], ['noise'], ['Alan'], ['noise'], ['Alan'], ['noise']]",AlannoisenoiseAlannoiseAlanAlannoise,noiseAlanAlannoisenoisenoiseAlanAlan,2.48015873016e-05,-2.4801894866e-05,True,-0.014388737452099556
8,8,"[<__main__.Word instance at 0x118b58050>
 <__main__.Word instance at 0x118b58170>
 <__main__.Word instance at 0x118b58368>]",Naima,1_6,False,True,"[['with'], ['animals', 'visited']]",withanimalsvisited,withanimalsvisited,0.5,0.69314718056,False,0.6931471805599453
9,9,[<__main__.Word instance at 0x118b58560>],Naima,1_6,False,True,[['Daddy']],Daddy,Daddy,1.0,0.0,False,-0.0
